,user,date,text,favorite_count,hashtags,user_loc
0,FordWMaverick,Fri Apr 24 03:55:09 +0000 2020,"RT @lloydkaufman: @choptopmoseley @nypost @nytimes report at least 36,000 millionaires got 2million each.!you say there is disconnect?How b…",0,[],Columbus Ohio
1,Lynchian_Dream,Fri Apr 24 03:27:39 +0000 2020,"RT @lloydkaufman: @choptopmoseley @nypost @nytimes report at least 36,000 millionaires got 2million each.!you say there is disconnect?How b…",0,[],
2,lloydkaufman,Fri Apr 24 03:25:42 +0000 2020,"@choptopmoseley @nypost @nytimes report at least 36,000 millionaires got 2million each.!you say there is disconnect… https://t.co/36n1mHPfAR",2,[],"Tromaville,New York City"
3,bencaroncreates,Fri Apr 24 00:24:42 +0000 2020,"I've been committed for over 10 years, but today I've decided to break up...

With chase 

#JPMorganChase is the wo… https://t.co/53JtwHOvri",1,['JPMorganChase'],"Los Angeles, CA"
4,AndreasBoos,Thu Apr 23 19:32:19 +0000 2020,"How big banks helped wealthiest clients get millions in pandemic aid
// #JPMorganChase #Citibank #USBank… https://t.co/WWZXxMMKNt",0,"['JPMorganChase', 'Citibank', 'USBank']",USA
5,AllTheFunInOne,Thu Apr 23 18:46:55 +0000 2020,"I applied for a small SBA and Chase Bank failed to save the animals! 10 year client with Chase.
Help the Animals Pl… https://t.co/88nc3XH0mU",1,[],"Chicago, Illinois USA"
6,AllTheFunInOne,Thu Apr 23 18:46:41 +0000 2020,"@marcuslemonis I applied for a small SBA and Chase Bank failed to save the animals! 10 year client with Chase.
Help… https://t.co/2kqWaKxLvy",0,[],"Chicago, Illinois USA"
7,chop_carry,Thu Apr 23 17:43:52 +0000 2020,"Chop Wood, Carry Water 4/23 - https://t.co/POYYENAPLw Where we bang the drum...daily! 🥁 With calls today about… https://t.co/fzxfP9l3do",0,[],"Los Angeles, CA"
8,pressfact,Thu Apr 23 16:33:59 +0000 2020,RT @jqontech: #JPMorganChase shutting down home loans and this.... #CaresAct https://t.co/LbYIxfQUVy,0,"['JPMorganChase', 'CaresAct']",
9,PaulHallasy,Thu Apr 23 16:33:06 +0000 2020,How many times do big banks have to fuck us over before they face real punishment? #JPMorganChase #Citibank #USBank https://t.co/EGsS9VrG1s,0,"['JPMorganChase', 'Citibank', 'USBank']",
