user,date,text,favorite_count,hashtags,user_loc
financebrokerag,Fri Apr 24 06:42:01 +0000 2020,"Gold prices dropped on Tuesday. The Bank of America expects bullion to average $1,695 an ounce over the course of 2… https://t.co/lEzy2En0W8",0,[],British Virgin Islands
slowdownwandwa1,Fri Apr 24 06:16:15 +0000 2020,"#bankofamerica 
#horrible. They are making every small business jump though hoops.
@BankofAmerica keep asking me fo… https://t.co/hTgjbFDjzF",0,"['bankofamerica', 'horrible']",
GlobalDividend,Fri Apr 24 06:16:11 +0000 2020,"Company: Bank of America
Dividend: 0,18 USD
Period: 2020 3 months
Dividend yield: 3,28 %
Record date: 5.06.2020
Ex-… https://t.co/CP0GkmAZXy",0,[],
DrThomasPaul,Fri Apr 24 04:55:05 +0000 2020,"RT @PLTC_PastLives: Banks: Financing #pollution and corruption every day.  
https://t.co/60bqrPBGit #GMO #bankofamerica #airpollution https…",0,"['pollution', 'GMO', 'bankofamerica', 'airpollution']",Los Angeles . New York . Skype
AJJohns40444296,Fri Apr 24 04:34:26 +0000 2020,"RT @lola666babe: #bankofamerica sucks &amp; so do I!!! 

https://t.co/29Mv4dj1Jz https://t.co/x6YOeAj2LO",0,['bankofamerica'],"Lorain, OH"
jennifercreador,Fri Apr 24 04:22:07 +0000 2020,@Anomalous__ They also didn’t close their branch doors and only allow for drive up and now a friend and their emplo… https://t.co/8925BDqVfJ,1,[],"Scottsdale, AZ"
jeff91597805,Fri Apr 24 02:42:05 +0000 2020,Banks stop taking “fees” for processing ppp funds the money will go further! We helped you out in 2008 it’s your tu… https://t.co/TveNPKc5JT,0,[],
dracobate,Fri Apr 24 01:59:40 +0000 2020,@GavinNewsom comes out swinging like he’s running for president 2024 ! Thank you 🙏🏼 ya gotta give em back! #debt… https://t.co/EBSF2N55to,1,['debt'],"Los Angeles, CA"
publiusfed1,Fri Apr 24 01:33:58 +0000 2020,DO NOT use #BankofAmerica MasterCard. !!! I pay my balance in full every month. There website WOULD NOT would not l… https://t.co/GUhyMz3VrR,0,['BankofAmerica'],
jameshenryand,Fri Apr 24 00:48:21 +0000 2020,"#BankOfAmerica needed over $1 trillion
in Fed loans 2008 GFC

How many more trillion$ will that megabank carcass
ne… https://t.co/XlFsebe0aS",8,['BankOfAmerica'],"Bullion, USA"
mssmallbusiness,Fri Apr 24 00:19:22 +0000 2020,@BankofAmerica @nourishNJ #bankofamerica This is an incompetent way to handle the distribution of the #PPPloans rou… https://t.co/LmPcVtIbV8,0,"['bankofamerica', 'PPPloans']",
