user,date,text,favorite_count,hashtags,user_loc
peacepumpkinpic,Thu Apr 23 16:34:40 +0000 2020,RT @peacepumpkinpic: @michael_david41 Barry didn’t bomb that night before a room full of elitist rich fvcks. But he certainly bombed 7 coun…,0,[],"Toronto, Canada"
Tickeron,Thu Apr 23 16:09:45 +0000 2020,"$C enters an Uptrend as Momentum Indicator exceeded the 0 level on April 6, 2020. View odds for this and other indi… https://t.co/f7eLFm4AYi",0,[],"Sunnyvale, CA"
SamSharplesMT,Thu Apr 23 14:58:50 +0000 2020,"RT @flyingstocksman: @carlquintanilla @Reuters Well #Citigroup is in Sell on our system &amp; heading towards it's 2008 lows, #AmericanExpress…",0,"['Citigroup', 'AmericanExpress']","Montana, USA"
flyingstocksman,Thu Apr 23 14:31:27 +0000 2020,"@carlquintanilla @Reuters Well #Citigroup is in Sell on our system &amp; heading towards it's 2008 lows,… https://t.co/8iO4ulYHAI",2,['Citigroup'],"Manchester, England"
MindMoneyMedici,Thu Apr 23 00:29:31 +0000 2020,Look at some nice potential upside on #C #CitiGroup inside this upwards channel. Took a position after the second t… https://t.co/kv2ByraaLZ,1,"['C', 'CitiGroup']",
LuxuryDecorDeb,Wed Apr 22 22:08:31 +0000 2020,Let's not forget he was the Chairman of the Board of Directors at #Citigroup where he picked the #Obama Administrat… https://t.co/YVsvzCXmDp,1,"['Citigroup', 'Obama']",East Coast
LuxuryDecorDeb,Wed Apr 22 22:08:03 +0000 2020,@impulsivewoman Let's not forget he was the Chairman of the Board of Directors at #Citigroup where he picked the… https://t.co/zlBYRSnwnk,1,['Citigroup'],East Coast
Bartz70Tim,Wed Apr 22 10:19:24 +0000 2020,RT @SchuermannChris: A US lawsuit accuses #JPMorgan #BofA #Barclays #Citigroup #CreditSuisse #DeutscheBank #GoldmanSachs #MorganStanley #RB…,0,"['JPMorgan', 'BofA', 'Barclays', 'Citigroup', 'CreditSuisse', 'DeutscheBank', 'GoldmanSachs', 'MorganStanley']",
SchuermannChris,Wed Apr 22 07:14:33 +0000 2020,A US lawsuit accuses #JPMorgan #BofA #Barclays #Citigroup #CreditSuisse #DeutscheBank #GoldmanSachs #MorganStanley… https://t.co/HX2WiPw6mI,0,"['JPMorgan', 'BofA', 'Barclays', 'Citigroup', 'CreditSuisse', 'DeutscheBank', 'GoldmanSachs', 'MorganStanley']",Rhine area Germany
GlobalDividend,Wed Apr 22 05:58:02 +0000 2020,"Company: Citigroup
Dividend: 0,51 USD
Period: 2020 3 months
Dividend yield: 4,62 %
Record date: 4.05.2020
Ex-divide… https://t.co/QEgJQyep2I",0,[],
