user,date,text,favorite_count,hashtags,user_loc
WestJournalism,Fri Apr 24 02:00:32 +0000 2020,"Kelly took a big stand, but apparently the corporate money was irresistible. #2020election #Arizona… https://t.co/SwWc5MIKLx",17,"['2020election', 'Arizona']","Phoenix, AZ"
_FinancialWorld,Fri Apr 24 08:01:37 +0000 2020,Goldman CEO Solomon faces pay scrub after ISS urges vote 'against' https://t.co/Bez9IVXRXt  #banks #competition… https://t.co/CauDa6xEDn,0,"['banks', 'competition']","London, UK"
mihaidumitres12,Fri Apr 24 07:36:12 +0000 2020,"RT @Kevin_Cage_: Latest video

Just a reminder of well known info 

No Hype

https://t.co/wc2Gi8jhXm

RT's are appreciated 

#XRPCommunity…",0,['XRPCommunity'],
cherobeam141,Fri Apr 24 07:22:09 +0000 2020,"RT @Kevin_Cage_: Latest video

Just a reminder of well known info 

No Hype

https://t.co/wc2Gi8jhXm

RT's are appreciated 

#XRPCommunity…",0,['XRPCommunity'],
lmnysf,Fri Apr 24 07:05:19 +0000 2020,@OJPgov @TheJusticeDept We did the math... #AGBarr #GoldmanSachs #Corruption https://t.co/oiNW9hu5AB,0,"['AGBarr', 'GoldmanSachs', 'Corruption']",
kirillklip,Fri Apr 24 07:02:15 +0000 2020,"#Gold &amp; FOMO. Suddenly even $1,735 looks like a good entry point ... after #UBS &amp; #GoldmanSachs placed their client… https://t.co/KLUjVVbN8O",0,"['Gold', 'UBS', 'GoldmanSachs']","Planet #Earth, mostly."
lmnysf,Fri Apr 24 07:01:13 +0000 2020,@OJPgov @TheJusticeDept Thought we forgot? #AGBarr #GoldmanSachs #1MDB Barr gets waiver on case linked to inquiry i… https://t.co/5cFBqTXoOC,0,"['AGBarr', 'GoldmanSachs', '1MDB']",
lmnysf,Fri Apr 24 06:58:30 +0000 2020,"@OJPgov @TheJusticeDept When the corruption is inside the DOJ #AGBarr #GoldmanSachs #1MDB 
https://t.co/jvwpUJFjyy",0,"['AGBarr', 'GoldmanSachs', '1MDB']",
MarcellaGWilso1,Fri Apr 24 06:45:48 +0000 2020,"RT @silver_report: This is great #MarcoRubio submitted the (bank) #stimulusbill, He receives tons of donations from the big banks including…",0,"['MarcoRubio', 'stimulusbill']",
beaucoupmorceau,Fri Apr 24 06:39:03 +0000 2020,"RT @MrsC_Assange: 2/2 Background

*#Turnbull was fmr Managing Director/partner of giant US Bank #GoldmanSachs 

*Turnbull knifed fmr PM #Ab…",0,"['Turnbull', 'GoldmanSachs']",
rvnflo,Fri Apr 24 05:09:15 +0000 2020,@BigMikD1 @novogratz #GoldmanSachs frauds far better off just STFU @lloydblankfein,1,['GoldmanSachs'],
ARMYmarketing,Fri Apr 24 05:02:36 +0000 2020,"RT @PLTC_PastLives: ""#GoldmanSachs are legal bank robbers.""
How the financial world works. Video.
http://t.co/kbgg1Z1Da3
#banks #stockmarke…",0,"['GoldmanSachs', 'banks']",Mexico City
DrThomasPaul,Fri Apr 24 04:57:18 +0000 2020,"RT @PLTC_PastLives: ""#GoldmanSachs are legal bank robbers.""
How the financial world works. Video.
http://t.co/kbgg1Z1Da3
#banks #stockmarke…",0,"['GoldmanSachs', 'banks']",Los Angeles . New York . Skype
DrThomasPaul,Fri Apr 24 04:56:11 +0000 2020,"RT @DrThomasPaul: #WallStreet is where the crooks are.A #ConsciousGovernment would shut wall street down, not prop up its corruption.#banks…",0,"['WallStreet', 'ConsciousGovernment', 'banks']",Los Angeles . New York . Skype
Dennis249048156,Fri Apr 24 03:35:13 +0000 2020,"RT @Kevin_Cage_: Latest video

Just a reminder of well known info 

No Hype

https://t.co/wc2Gi8jhXm

RT's are appreciated 

#XRPCommunity…",0,['XRPCommunity'],
TribeEphraim,Fri Apr 24 03:22:37 +0000 2020,"RT @Kevin_Cage_: Latest video

Just a reminder of well known info 

No Hype

https://t.co/wc2Gi8jhXm

RT's are appreciated 

#XRPCommunity…",0,['XRPCommunity'],USA
Realjewishdepl1,Fri Apr 24 03:17:57 +0000 2020,"RT @WestJournalism: Kelly took a big stand, but apparently the corporate money was irresistible. #2020election #Arizona #CampaignFinance #D…",0,"['2020election', 'Arizona', 'CampaignFinance']",New jersey
Gil00006,Fri Apr 24 03:14:02 +0000 2020,"RT @conserv_tribune: Kelly took a big stand, but apparently the corporate money was irresistible. #2020election #Arizona #CampaignFinance #…",0,"['2020election', 'Arizona', 'CampaignFinance']",U.S.A.
AZRed65,Fri Apr 24 02:52:59 +0000 2020,"RT @WestJournalism: Kelly took a big stand, but apparently the corporate money was irresistible. #2020election #Arizona #CampaignFinance #D…",0,"['2020election', 'Arizona', 'CampaignFinance']","Arizona, USA"
noprezzie2012,Fri Apr 24 02:52:11 +0000 2020,"RT @WestJournalism: Kelly took a big stand, but apparently the corporate money was irresistible. #2020election #Arizona #CampaignFinance #D…",0,"['2020election', 'Arizona', 'CampaignFinance']","Arizona, USA"
hardestofrock,Fri Apr 24 02:28:22 +0000 2020,"RT @WestJournalism: Kelly took a big stand, but apparently the corporate money was irresistible. #2020election #Arizona #CampaignFinance #D…",0,"['2020election', 'Arizona', 'CampaignFinance']",San Antonio Texas
